adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001493152-24-042965	1517681	PROPANC BIOPHARMA, INC.	2834	AU		CAMBERWELL, VICTORIA	3124	302/6 BUTLER STREET		61-03-9882-0780	AU		CAMBERWELL, VICTORIA	3124	302/6 BUTLER STREET		US	DE	330662986	PROPANC HEALTH GROUP CORP	20110408	4-NON	0	0630	S-1	20240630			20241030	2024-10-30 06:46:00.0	0	1	forms-1_htm.xml	1	
0000092521-24-000016	92521	SOUTHWESTERN PUBLIC SERVICE CO	4931	US	TX	AMARILLO	79101	SPS TOWER	TYLER AT SIXTH ST	3035717511	US	TX	AMARILLO	79170	PO BOX 1261		US	NM	750575400			4-NON	0	1231	10-Q	20240930	2024	Q3	20241031	2024-10-31 15:11:00.0	0	1	sps-20240930_htm.xml	1	
0001755755-24-000086	1755755	VINEBROOK HOMES TRUST, INC.	6798	US	TX	DALLAS	75201	300 CRESCENT COURT	SUITE 700	214-276-6300	US	TX	DALLAS	75201	300 CRESCENT COURT	SUITE 700	US	MD	831268857			4-NON	0	1231	10-Q	20240930	2024	Q3	20241104	2024-11-01 17:46:00.0	0	1	vhti-20240930_htm.xml	1	
0001062993-24-019582	1346022	ENERTOPIA CORP.	1000	CA	BC	KELOWNA	V1Y 4R2	#18, 1873 SPALL ROAD		250-870-2219	CA	BC	KELOWNA	V1Y 4R2	#18, 1873 SPALL ROAD		US	NV	000000000	GOLDEN ARIA CORP.	20051205	4-NON	0	0831	10-K	20240831	2024	FY	20241125	2024-11-22 18:19:00.0	0	1	form10k_htm.xml	1	
0001601548-24-000021	1601548	V2X, INC.	8744	US	VA	MCLEAN	22102	7901 JONES BRANCH DRIVE	SUITE 700	(571) 481-2000	US	VA	MCLEAN	22102	7901 JONES BRANCH DRIVE	SUITE 700	US	IN	383924636	VECTRUS, INC.	20140408	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241104	2024-11-04 16:06:00.0	0	1	vec-20240927_htm.xml	1	
0001213900-24-094307	1845123	SWIFTMERGE ACQUISITION CORP.	1311	CA	BC	WEST VANCOUVER	V7T1A2	EXECUTIVE SUITE	200 - 100 PARK ROYAL	604-685-7303	CA	BC	WEST VANCOUVER	V7T1A2	EXECUTIVE SUITE	200 - 100 PARK ROYAL	KY		000000000			4-NON	0	1231	S-4/A	20240630			20241105	2024-11-05 06:31:00.0	1	1	ea0208017-04_htm.xml	2	2027635
0001558370-24-015054	812796	SOLIGENIX, INC.	2834	US	NJ	PRINCETON	08540	29 EMMONS DRIVE	SUITE B-10	609-538-8200	US	NJ	PRINCETON	08540	29 EMMONS DRIVE	SUITE B-10	US	DE	411505029	DOR BIOPHARMA INC	20020329	4-NON	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 16:06:00.0	0	1	sngx-20240930x10q_htm.xml	1	
0000950170-24-125582	1826600	MONTAUK RENEWABLES, INC.	4932	US	PA	PITTSBURGH	15205	5313 CAMPBELLS RUN ROAD	SUITE 200	4127478700	US	PA	PITTSBURGH	15205	5313 CAMPBELLS RUN ROAD	SUITE 200	US	DE	853189583	MONTAUK ENERGY, INC.	20200929	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:46:00.0	0	1	mntk-20240930_htm.xml	1	
0001558370-24-015048	1680048	MUSTANG BIO, INC.	2834	US	MA	WORCESTER	01605	377 PLANTATION STREET		7816524500	US	MA	WORCESTER	01605	377 PLANTATION STREET		US	DE	473828760			4-NON	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 16:02:00.0	0	1	tmb-20240930x10q_htm.xml	1	
0001437749-24-033616	1855175	CONTINEUM THERAPEUTICS, INC.	2834	US	CA	SAN DIEGO	92121	3565 GENERAL ATOMICS COURT, SUITE 200		(858) 333-5280	US	CA	SAN DIEGO	92121	3565 GENERAL ATOMICS COURT, SUITE 200		US	DE	271467257	PIPELINE THERAPEUTICS, INC.	20210405	4-NON	0	1231	10-Q	20240930	2024	Q3	20241106	2024-11-06 16:11:00.0	0	1	cont20240930_10q_htm.xml	1	
0001213900-24-101608	1413891	HIGH WIRE NETWORKS, INC.	4813	US	IL	BATAVIA	60510	30 N LINCOLN ST.		952.974.4000	US	IL	BATAVIA	60510	30 N LINCOLN ST.		US	NV	260592672	HWN, INC.	20210825	4-NON	0	1231	10-Q/A	20240630	2024	Q2	20241122	2024-11-22 16:16:00.0	0	1	ea0222061-10qa1_high_htm.xml	1	
0000927653-24-000125	927653	MCKESSON CORP	5122	US	TX	IRVING	75039	6555 STATE HIGHWAY 161		972-446-4800	US	TX	IRVING	75039	6555 STATE HIGHWAY 161		US	DE	943207296	MCKESSON HBOC INC	19990115	1-LAF	0	0331	10-Q	20240930	2025	Q2	20241107	2024-11-07 16:09:00.0	0	1	mck-20240930_htm.xml	1	
0001558370-24-015044	907242	MONARCH CASINO & RESORT INC	7011	US	NV	RENO	89502	3800 S VIRGINIA STREET	EXECUTIVE OFFICES	775-335-4600	US	NV	RENO	89502	3800 S VIRGINIA STREET	EXECUTIVE OFFICES	US	NV	880300760			1-LAF	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 15:47:00.0	0	1	mcri-20240930x10q_htm.xml	1	
0000950170-24-126458	1640384	LM FUNDING AMERICA, INC.	6199	US	FL	TAMPA	33606	1200 WEST PLATT STREET	SUITE 100	813-222-8996	US	FL	TAMPA	33606	1200 WEST PLATT STREET	SUITE 100	US	DE	000000000			4-NON	0	1231	10-Q	20240930	2024	Q3	20241113	2024-11-13 17:00:00.0	0	1	lmfa-20240930_htm.xml	1	
0001866175-24-000106	1866175	CRESCENT ENERGY CO	1311	US	TX	HOUSTON	77002	600 TRAVIS STREET	SUITE 7200	(713) 481-7782	US	TX	HOUSTON	77002	600 TRAVIS STREET	SUITE 7200	US	DE	000000000	IE PUBCO INC.	20210607	2-ACC	0	1231	10-Q	20240930	2024	Q3	20241104	2024-11-04 16:28:00.0	0	1	crgy-20240930_htm.xml	1	
0000950170-24-125642	1841514	COMMONWEALTH CREDIT PARTNERS BDC I, INC.		US	FL	WEST PALM BEACH	33401	C/O COMVEST CAPITAL ADVISORS, LLC	360 S. ROSEMARY, SUITE 1700	561.727.2100	US	FL	WEST PALM BEACH	33401	C/O COMVEST CAPITAL ADVISORS, LLC	360 S. ROSEMARY, SUITE 1700	US	DE	000000000			4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 17:04:00.0	0	1	ck0001841514-20240930_htm.xml	1	
0000921738-24-000038	921738	PENN ENTERTAINMENT, INC.	7011	US	PA	WYOMISSING	19610	825 BERKSHIRE BLVD STE 200	WYOMISSING PROFESSIONAL CENTER	6103732400	US	PA	WYOMISSING	19610	825 BERKSHIRE BLVD	SUITE 200	US	PA	232234473	PENN NATIONAL GAMING INC	19940415	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 16:16:00.0	0	1	penn-20240930_htm.xml	1	
0001558370-24-013320	1175680	CYTODYN INC.	2834	US	WA	VANCOUVER	98660	1111 MAIN STREET, SUITE 660		360-980-8524	US	WA	VANCOUVER	98660	1111 MAIN STREET, SUITE 660		US	DE	753056237	CYTODYN INC	20031114	4-NON	0	0531	10-Q	20240831	2025	Q1	20241015	2024-10-15 17:17:00.0	0	1	cydy-20240831x10q_htm.xml	1	
0001683168-24-008140	1415813	UN MONDE INTERNATIONAL LTD.	6770	CA	ON	RICHMOND HILL	L4B 2P2	1-45A WEST WILMOT ST.		905-962-0823	CA	ON	RICHMOND HILL	L4B 2P2	1-45A WEST WILMOT ST.				830500896	UN MONDE INTERNATIONAL WORLDWIDE LTD.	20211215	4-NON	0	1231	10-Q	20240930	2024	Q3	20241115	2024-11-14 19:43:00.0	0	1	armc_i10q-093024_htm.xml	1	
0002012706-24-000015	2012706	SUNRISE REALTY TRUST, INC.	6798	US	FL	WEST PALM BEACH	33401	525 OKEECHOBEE BLVD., SUITE 1650		561-510-2390	US	FL	WEST PALM BEACH	33401	525 OKEECHOBEE BLVD., SUITE 1650		US	MD	000000000			4-NON	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 07:31:00.0	0	1	suns-20240930_htm.xml	1	
0000950170-24-123302	750577	HANCOCK WHITNEY CORP	6022	US	MS	GULFPORT	39501	ONE HANCOCK WHITNEY PLAZA	P O BOX 4019	5042995208	US	MS	GULFPORT	39501	ONE HANCOCK WHITNEY PLAZA	P O BOX 4019	US	MS	640693170	HANCOCK HOLDING CO	19920703	1-LAF	0	1231	10-Q	20240930	2024	Q3	20241107	2024-11-07 16:07:00.0	0	1	hwc-20240930_htm.xml	1	
0001437749-24-035078	1546296	PROFESSIONAL DIVERSITY NETWORK, INC.	7370	US	IL	CHICAGO	60603	55 EAST MONROE STREET	SUITE 2120	312-614-0950	US	IL	CHICAGO	60603	55 EAST MONROE STREET	SUITE 2120	US	DE	800900177	PROFESSIONAL DIVERSITY NETWORK, LLC	20120402	4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 09:05:00.0	0	1	ipdn20240930c_10q_htm.xml	1	
0001213900-24-100247	1707910	REBORN COFFEE, INC.	5812	US	CA	BREA	92821	580 N. BERRY STREET		714-784-6369	US	CA	BREA	92821	580 N. BERRY STREET		US	DE	474752305	CAPAX INC.	20170530	4-NON	0	1231	10-Q	20240930	2024	Q3	20241119	2024-11-19 17:19:00.0	0	1	ea0221604-10q_reborn_htm.xml	1	
0001477932-24-006974	1088638	MASTERMIND, INC.	7310	US	GA	ATLANTA	30309	2221 PEACHTREE RD. NE	SUITE D-134	678-420-4000	US	GA	ATLANTA	30309	2221 PEACHTREE RD. NE	SUITE D-134			823807447	COCONNECT, INC.	20140505	4-NON	0	1231	10-Q	20240930	2024	Q3	20241108	2024-11-08 13:50:00.0	0	1	mmnd_10q_htm.xml	1	
0001654954-24-014179	933738	ENGLOBAL CORP	8711	US	TX	HOUSTON	77079	11740 KATY FWY	ENERGY TOWER III, 11TH FLOOR	281-878-1000	US	TX	HOUSTON	77079	11740 KATY FWY	SUITE 1100	US	NV	880322261	INDUSTRIAL DATA SYSTEMS CORP	19970123	4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 16:06:00.0	0	1	eng_10q_htm.xml	1	
0001558370-24-015711	1760542	HOOKIPA PHARMA INC.	2834	US	NY	NEW YORK	10118	350 FIFTH AVENUE, 72ND FLOOR, SUITE 7240		0114318906360	US	NY	NEW YORK	10118	350 FIFTH AVENUE, 72ND FLOOR, SUITE 7240		US	DE	815395687			4-NON	0	1231	10-Q	20240930	2024	Q3	20241114	2024-11-14 16:09:00.0	0	1	hook-20240930x10q_htm.xml	1	
0001493152-24-044751	1875547	LOCAFY LTD	7370	AU		SUBIACO WA	6008	246A CHURCHILL AVENUE		61 409 999 339	AU		SUBIACO WA	6008	246A CHURCHILL AVENUE		AU		000000000			4-NON	0	0630	20-F	20240630	2024	FY	20241112	2024-11-12 16:06:00.0	1	1	form20-f_htm.xml	1	
0001140361-24-046143	8177	ATLANTIC AMERICAN CORP	6311	US	GA	ATLANTA	30319	4370 PEACHTREE RD NE		4042665500	US	GA	ATLANTA	30319	4370 PEACHTREE ROAD		US	GA	581027114			4-NON	0	1231	10-Q	20240930	2024	Q3	20241112	2024-11-12 15:17:00.0	0	1	ef20034523_10q_htm.xml	1	
